appid,Title,Type,Price,Release_Date,Rating,Required_Age,Is_Multiplayer,appid,Genre
344480,Quell,game,3.99,"2015-05-14 00:00:00",-1,0,0,344480,Indie
347800,"Ghost Song",game,0,"2016-05-07 20:16:00",-1,0,0,347800,Action
347800,"Ghost Song",game,0,"2016-05-07 20:16:00",-1,0,0,347800,Indie
354430,"STAR WARS™ - X-Wing Special Edition",game,9.99,"2015-04-28 00:00:00",-1,0,0,354430,Action
355180,"Codename CURE",game,0,"2015-07-17 00:00:00",-1,0,0,355180,Action
355180,"Codename CURE",game,0,"2015-07-17 00:00:00",-1,0,0,355180,"Early Access"
355180,"Codename CURE",game,0,"2015-07-17 00:00:00",-1,0,0,355180,"Free to Play"
355970,"Home is Where One Starts...",game,2.99,"2015-05-12 00:00:00",-1,0,0,355970,Adventure
355970,"Home is Where One Starts...",game,2.99,"2015-05-12 00:00:00",-1,0,0,355970,Indie
356160,"The Emptiness Deluxe Edition",game,9.99,"2015-04-17 00:00:00",-1,0,0,356160,Adventure
356160,"The Emptiness Deluxe Edition",game,9.99,"2015-04-17 00:00:00",-1,0,0,356160,Casual
356890,"One More Line",game,2.99,"2015-08-28 00:00:00",-1,0,1,356890,Action
356890,"One More Line",game,2.99,"2015-08-28 00:00:00",-1,0,1,356890,Casual
356890,"One More Line",game,2.99,"2015-08-28 00:00:00",-1,0,1,356890,Indie
357070,UBERMOSH,game,1.99,"2015-08-13 00:00:00",-1,0,0,357070,Action
357070,UBERMOSH,game,1.99,"2015-08-13 00:00:00",-1,0,0,357070,Indie
365120,"Curse of the Crescent Isle DX",game,4.99,"2015-08-21 00:00:00",-1,0,0,365120,Action
365120,"Curse of the Crescent Isle DX",game,4.99,"2015-08-21 00:00:00",-1,0,0,365120,Adventure
365120,"Curse of the Crescent Isle DX",game,4.99,"2015-08-21 00:00:00",-1,0,0,365120,Indie
365340,"The Way of the Pixelated Fist",game,1.99,"2015-04-27 00:00:00",-1,0,0,365340,Action
