,app_id,is_multiplayer,price,rating,release_date,required_age,title,ratings2021
336,21010,1,4.99,61,2009-03-04 00:00:00,17,Watchmen: The End is Nigh,66
337,21030,0,4.99,44,2009-07-29 00:00:00,17,Watchmen: The End is Nigh Part 2,64
338,21090,0,9.99,88,2010-05-21 00:00:00,17,F.E.A.R.,94
339,21100,1,19.99,74,2011-06-21 00:00:00,17,F.E.A.R. 3,71
340,21110,0,9.99,88,2010-05-21 00:00:00,17,F.E.A.R.,94
341,21120,0,9.99,88,2010-05-21 00:00:00,17,F.E.A.R.,94
342,21130,0,19.99,79,2010-06-29 00:00:00,0,LEGO Harry Potter: Years 1-4,83
343,21640,0,4.99,65,2009-04-07 00:00:00,0,Flock!,76
344,21660,1,19.99,91,2009-07-07 00:00:00,0,Street Fighter® IV,69
345,21670,1,9.99,69,2009-07-28 00:00:00,17,Bionic Commando,75
346,21680,0,9.99,86,2009-07-28 00:00:00,17,Bionic Commando: Rearmed,71
347,21690,1,19.99,86,2009-09-15 00:00:00,17,Resident Evil™ 5/ Biohazard 5®,87
348,21760,1,9.99,89,2008-12-04 00:00:00,0,World In Conflict,-1
349,21780,0,9.99,61,2009-02-13 00:00:00,17,Driver® Parallel Lines,90
350,21800,1,9.99,68,2009-02-25 00:00:00,0,Tom Clancy's EndWar™,77
351,21980,1,9.99,78,2009-07-02 00:00:00,17,Call of Juarez®: Bound in Blood,84
352,22000,0,9.99,90,2008-10-13 00:00:00,0,World of Goo,94
353,22100,0,9.99,72,2008-11-03 00:00:00,0,Mount & Blade,92
354,22120,0,9.99,78,2009-01-23 00:00:00,17,Penumbra: Black Plague Gold Edition,93
355,22130,1,14.99,83,2009-01-23 00:00:00,0,Hearts of Iron 2 Complete,83
356,22140,0,0.0,67,1970-01-01 00:00:00,0,Penumbra: Requiem,50
357,22180,0,9.99,73,2009-03-06 00:00:00,17,Penumbra Overture,89
358,22200,0,9.99,77,2009-04-21 00:00:00,0,Zeno Clash,87
359,22230,1,9.99,74,2011-09-07 00:00:00,0,Rock of Ages,91
360,22300,0,9.99,91,2008-10-28 00:00:00,17,Fallout 3,77
361,22310,1,9.99,29,2009-12-01 00:00:00,17,Rogue Warrior,69
362,22320,0,19.99,89,2009-06-16 00:00:00,0,The Elder Scrolls III: Morrowind® Game of the Year Edition,95
363,22330,0,19.99,94,2009-06-16 00:00:00,17,The Elder Scrolls IV: Oblivion® Game of the Year Edition,95
364,22340,0,9.99,76,2009-06-16 00:00:00,17,Call of Cthulhu®: Dark Corners of the Earth,68
365,22350,1,19.99,70,2011-05-09 00:00:00,0,BRINK,61
366,22370,0,19.99,91,2009-12-17 00:00:00,17,Fallout 3: Game of the Year Edition,77
367,22380,0,9.99,84,2010-10-19 00:00:00,16,Fallout: New Vegas,96
368,22450,0,19.99,61,2011-05-30 00:00:00,0,Hunted: The Demon’s Forge™,72
369,22490,0,9.99,84,2010-10-19 00:00:00,16,Fallout: New Vegas,92
370,22600,1,19.99,79,2010-08-26 00:00:00,0,Worms Reloaded,84
371,22610,0,9.99,64,2010-06-03 00:00:00,0,Alien Breed: Impact,77
372,22650,0,9.99,63,2010-09-22 00:00:00,0,Alien Breed 2: Assault,77
373,22670,0,9.99,64,2010-11-17 00:00:00,0,Alien Breed 3: Descent,75
374,23310,0,9.99,66,2009-04-09 00:00:00,0,The Last Remnant™,81
375,23380,0,5.99,71,2009-11-18 00:00:00,0,Gyromancer,65
376,23400,0,9.99,63,2008-11-25 00:00:00,0,Imperium Romanum Gold Edition,81
377,23420,1,9.99,79,2008-12-18 00:00:00,0,Europa Universalis: Rome - Gold Edition ,66
378,23450,1,9.99,72,2009-03-20 00:00:00,0,Grand Ages: Rome,74
379,23460,0,9.99,73,2009-02-27 00:00:00,0,Ceville,81
380,23490,0,9.99,79,2009-10-20 00:00:00,0,Tropico 3 - Steam Special Edition,89
381,23500,1,9.99,72,2009-02-24 00:00:00,0,Puzzle Quest: Galactrix,46
382,23530,1,9.99,69,2011-12-14 00:00:00,0,Earth Defense Force: Insect Armageddon,88
383,23600,0,9.99,79,2010-11-23 00:00:00,0,Depths of Peril,84
