app_id,sum(CGS.total_play_time)
37250,519336
37270,559004
37280,1649655
37290,811298
37300,822732
37310,420292
37320,709323
37330,490475
37340,712754
37350,407321
37360,884897
37370,429351
37380,498096
37390,415810
37500,465508
37600,3449218
37900,1870447
37910,225279
37920,185219
37930,123480
37940,230830
37950,130671
37960,5099079
37970,10250126
37980,6050028
37990,2270259
38000,4966652
38010,4304173
38020,4450452
38030,101796
38040,83000
38050,1600385
38060,5550980
38070,369533
38080,1470236
38090,941254
38100,1015341
38110,1927155
38120,1668637
38130,3518322
38140,1832992
38150,2608155
38160,1781621
38170,6527564
38180,3808715
38190,465850
38200,163254
38220,12105566
38240,77331
38430,568012
38450,324451
38480,149345
38490,101017
38530,638151
38600,36006997
38800,1839335
38810,154619
38820,889775
38900,6228937
39000,396544
39110,1669537
39140,46523973
39250,16795036
39260,3677822
39300,233132
39310,86934
39320,18387
39330,73952
39350,50454
39360,116870
39370,115212
39380,4672
39560,1835504
39600,255852
39610,240768
39620,307978
39710,278056
39800,48339932
39900,152751
40000,49136831
40120,97679
40200,1027353
40210,1359855
40330,2311413
40370,5623663
40500,238907
40720,2950217
40920,59276306
40990,22763758
41010,105581783
41030,99
41100,11688078
41210,54944071
41400,57675
41600,103873
41610,27
41660,741319
41680,15046
41730,1409836
41740,3104902
42000,187675
42210,525486
42220,678314
42230,766580
42500,9829303
42640,30649479
42660,338006
42680,2404963725
42690,11219036534
42730,4325359
42800,503607
42810,5590137
42820,49165
