app_id,title,price,release_date,rating,required_age,is_multiplayer,total_positive,total_negative
7020,Rogue Trooper,9.99,2007-03-29 00:00:00,69,0,1,286,18
7110,Jade Empire™: Special Edition,14.99,2007-02-27 00:00:00,81,0,0,961,339
7200,Trackmania United Forever Star Edition,29.99,2008-04-16 00:00:00,80,0,1,1175,79
7210,"Runaway, A Road Adventure",9.99,2007-03-14 00:00:00,74,0,0,289,103
7220,"Runaway, The Dream of The Turtle",9.99,2007-03-14 00:00:00,-1,0,0,102,86
7260,Loki,9.99,2007-11-05 00:00:00,-1,0,1,89,64
7340,Azada,9.99,2010-04-21 00:00:00,-1,0,0,15,5
7510,X-Blades,9.99,2009-04-30 00:00:00,54,17,0,550,386
7520,Two Worlds II,19.99,2011-02-03 00:00:00,76,17,1,1934,1336
7530,Two Worlds II Castle Defense,9.99,2011-06-14 00:00:00,-1,0,0,107,143
7600,Sid Meier's Railroads!,9.99,2007-05-04 00:00:00,77,0,1,1151,518
7610,Railroad Tycoon 3,9.99,2007-05-04 00:00:00,80,0,1,539,159
7620,Railroad Tycoon II Platinum,4.99,2007-05-04 00:00:00,89,0,0,698,102
7650,X-COM: Terror From the Deep,4.99,2007-05-04 00:00:00,-1,0,0,452,36
7660,X-COM: Apocalypse,4.99,2008-09-04 00:00:00,-1,0,0,509,60
7670,BioShock™,19.99,2007-08-21 00:00:00,96,17,0,17841,1058
7730,X-COM: Interceptor,4.99,2008-09-04 00:00:00,-1,0,1,58,51
7760,X-COM: UFO Defense,4.99,2008-09-04 00:00:00,-1,0,0,2199,82
7770,X-COM: Enforcer,4.99,2008-09-04 00:00:00,65,0,1,124,106
7830,Men of War™,4.99,2009-05-06 00:00:00,80,0,1,1878,250
7840,Death Track®: Resurrection,2.99,2009-05-06 00:00:00,53,0,0,34,25
7860,NecroVision,4.99,2009-05-20 00:00:00,63,0,1,513,228
7940,Call of Duty® 4: Modern Warfare®,19.99,2007-11-12 00:00:00,92,17,1,9892,846
7970,Cabela's® Big Game Hunter™ Trophy Bucks,19.99,2008-05-16 00:00:00,-1,0,0,17,43
8000,Tomb Raider: Anniversary,8.99,2007-06-05 00:00:00,83,0,0,2856,603
8080,Kane and Lynch: Dead Men™,6.99,2007-12-13 00:00:00,67,17,1,1504,763
8100,Conflict: Denied Ops,5.99,2008-02-08 00:00:00,58,17,0,118,126
8140,Tomb Raider: Underworld,8.99,2008-11-21 00:00:00,80,0,0,2571,816
8170,Battlestations Pacific,8.99,2009-05-13 00:00:00,74,0,1,1353,620
8190,Just Cause 2,14.99,2010-03-23 00:00:00,84,17,0,31548,3272
8230,Sam & Max 104: Abe Lincoln Must Die!,0.0,2007-06-15 00:00:00,-1,0,0,14,0
8310,Bone: Out From Boneville,9.99,2008-06-17 00:00:00,68,0,0,47,26
8320,Bone: The Great Cow Race,9.99,2008-06-17 00:00:00,76,0,0,26,11
8330,Telltale Texas Hold ‘Em,2.99,2008-06-17 00:00:00,-1,0,0,42,27
8340,Strong Bad's Cool Game for Attractive People: Season 1,19.99,2008-12-18 00:00:00,82,0,0,203,16
8350,Strong Bad's Cool Game for Attractive People: Season 1,19.99,2008-12-18 00:00:00,82,0,0,13,4
8360,Strong Bad's Cool Game for Attractive People: Season 1,19.99,2008-12-18 00:00:00,82,0,0,10,3
8370,Strong Bad's Cool Game for Attractive People: Season 1,19.99,2008-12-18 00:00:00,82,0,0,10,3
8380,Strong Bad's Cool Game for Attractive People: Season 1,19.99,2008-12-18 00:00:00,82,0,0,10,2
8400,Geometry Wars: Retro Evolved,3.99,2007-06-18 00:00:00,76,0,0,630,68
8500,EVE Online,19.99,2010-12-15 00:00:00,88,0,1,5504,1146
8600,RACE 07,3.99,2007-10-15 00:00:00,83,0,1,830,107
8640,RACE On,7.99,2009-10-16 00:00:00,-1,0,1,0,0
8790,GTR 2 FIA GT Racing Game,7.99,2012-12-12 00:00:00,-1,0,1,153,14
8800,Civilization IV: Beyond the Sword,9.99,2007-07-24 00:00:00,86,0,0,1950,68
8850,BioShock® 2,19.99,2010-02-09 00:00:00,88,17,1,7601,939
8870,BioShock Infinite,29.99,2013-03-25 00:00:00,94,17,0,76201,3853
8880,Freedom Force,4.99,2009-05-29 00:00:00,90,0,1,207,137
8890,Freedom Force vs. the Third Reich,4.99,2009-05-29 00:00:00,-1,0,1,143,21
8930,Sid Meier's Civilization® V,29.99,2010-09-21 00:00:00,90,0,1,102332,4191
8970,Axel & Pixel,4.99,2010-10-06 00:00:00,-1,0,0,40,15
8980,Borderlands,19.99,2009-10-26 00:00:00,81,17,1,15690,1122
9000,Spear of Destiny,4.99,2007-08-03 00:00:00,-1,0,0,306,45
9010,Return to Castle Wolfenstein,9.99,2007-08-03 00:00:00,88,0,1,4154,358
9030,QUAKE Mission Pack 2: Dissolution of Eternity,4.99,2007-08-03 00:00:00,-1,0,1,214,26
9040,QUAKE Mission Pack 1: Scourge of Armagon,4.99,2007-08-03 00:00:00,-1,0,1,306,25
9050,DOOM 3,9.99,2007-08-03 00:00:00,87,17,1,3948,485
9060,HeXen II,4.99,2007-08-03 00:00:00,-1,0,1,240,53
9160,Master Levels for Doom II,14.99,2007-08-03 00:00:00,-1,0,0,364,100
9180,Commander Keen,4.99,2007-08-03 00:00:00,-1,0,0,1009,68
9200,RAGE,19.99,2011-10-03 00:00:00,79,17,1,7318,2458
9219,RAGE,19.99,2011-10-03 00:00:00,79,17,1,0,0
9310,"Warhammer® 40,000: Dawn Of War® – Winter Assault",12.99,2007-08-07 00:00:00,-1,17,1,822,79
9340,Company of Heroes: Opposing Fronts,19.99,2007-09-24 00:00:00,87,18,1,492,45
9350,Supreme Commander,14.99,2011-09-28 00:00:00,86,0,1,1153,154
9420,Supreme Commander: Forged Alliance,14.99,2011-09-28 00:00:00,81,0,1,5559,179
9450,"Warhammer® 40,000: Dawn of War® - Soulstorm",12.99,2008-03-05 00:00:00,-1,17,1,7089,338
9460,Frontlines™: Fuel of War™,19.99,2008-02-29 00:00:00,73,0,0,396,226
9480,Saints Row 2,9.99,2009-01-07 00:00:00,72,17,0,5911,1724
9500,Gish,9.99,2007-07-20 00:00:00,80,0,1,119,67
9710,Desperados 2: Cooper's Revenge,9.99,2008-03-12 00:00:00,66,0,0,60,68
9730,Tycoon City: New York,9.99,2008-03-12 00:00:00,67,0,0,60,99
9760,Act of War: High Treason,2.99,2008-03-12 00:00:00,74,0,1,238,53
9800,Death to Spies,4.99,2008-03-12 00:00:00,69,0,0,414,140
9850,Codename: Panzers - Cold War,14.99,2009-05-06 00:00:00,-1,0,1,89,49
9870,Ghostbusters: The Videogame,9.99,2009-06-16 00:00:00,74,0,0,1325,94
9880,Champions Online,0.0,2011-06-14 00:00:00,72,0,1,103,70
9900,Star Trek Online,0.0,2012-01-31 00:00:00,76,0,1,540,185
9930,Test Drive Unlimited 2,19.99,2011-02-01 00:00:00,72,0,1,3778,2268
9940,Blade Kitten,2.99,2014-05-22 00:00:00,52,0,0,680,136
9960,Haunted House™,5.99,2010-09-28 00:00:00,-1,0,0,9,11
9970,Star Raiders,9.99,2011-05-11 00:00:00,-1,0,0,5,19
9980,The UnderGarden,6.99,2010-11-10 00:00:00,67,0,0,36,17
9990,Ghostbusters: Sanctum of Slime,9.99,2011-03-23 00:00:00,43,0,0,40,50
10090,Call of Duty: World at War,19.99,2008-11-18 00:00:00,83,17,1,27297,1709
10110,Space Quest™ Collection,19.99,2009-07-23 00:00:00,-1,0,0,162,36
10120,Aces of the Galaxy™,9.99,2009-07-23 00:00:00,-1,0,0,14,18
10130,TimeShift™,19.99,2009-07-23 00:00:00,71,0,1,628,160
10140,3D Ultra™ Minigolf Adventures,9.99,2009-07-23 00:00:00,-1,0,0,56,31
10150,Prototype™,19.99,2009-06-10 00:00:00,79,17,0,4732,1190
10180,Call of Duty®: Modern Warfare® 2,19.99,2009-11-11 00:00:00,86,0,1,18122,1625
10190,Call of Duty®: Modern Warfare® 2,19.99,2009-11-11 00:00:00,86,0,1,2971,281
10220,Postal III,14.99,2012-02-17 00:00:00,24,17,0,625,1058
10230,Dead Mountaineer's Hotel,9.99,2011-10-28 00:00:00,-1,0,0,30,58
10240,A Stroke of Fate: Operation Valkyrie,9.99,2011-10-28 00:00:00,-1,0,0,16,8
10250,PT Boats: Knights of the Sea,9.99,2011-10-28 00:00:00,-1,0,1,15,14
10260,PT Boats: South Gambit,9.99,2011-10-28 00:00:00,-1,0,1,10,10
10270,Disciples III: Reincarnation,19.99,2014-02-14 00:00:00,-1,0,1,574,269
10460,The Club™,14.99,2008-02-20 00:00:00,67,0,1,58,50
10500,Empire: Total War™,19.99,2009-03-03 00:00:00,90,0,1,11231,1346
10520,Beijing 2008™ - The Official Video Game of the Olympic Games,0.0,2008-08-14 00:00:00,-1,0,1,0,0
